"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"2450-842","1","1","1","1","1","1","0","20240507","20241231"
"2450-359","1","1","1","1","1","1","0","20240515","20241223"
"2450-508","1","1","1","1","1","1","0","20240506","20240531"
"2450-83","1","1","1","1","1","1","0","20240507","20241223"
"2450-653","1","1","1","1","1","1","0","20240507","20250101"
"2450-208","1","1","1","1","1","1","0","20240506","20241223"
"2450-352","1","1","1","1","1","1","0","20240513","20241223"
"2450-355","1","1","1","1","1","1","0","20240506","20241223"
"2450-781","1","1","1","1","1","1","0","20240507","20250101"
"2450-695","1","1","1","1","1","1","0","20240507","20240824"
"2450-855","1","1","1","1","1","1","0","20240507","20240518"
"2450-402","1","1","1","1","1","1","0","20240603","20241223"
"2450-331","0","1","0","0","0","0","0","20240506","20240510"
"2450-19","0","1","0","0","0","0","0","20240506","20241103"
"2450-390","0","1","0","0","0","0","0","20240507","20241217"
"2450-374","0","1","1","1","1","0","1","20240508","20241222"
"2450-251","0","0","0","0","1","1","1","20240510","20240623"
"2450-6","0","0","0","0","1","1","1","20240506","20241006"
"2450-247","0","0","0","0","1","1","1","20240510","20240622"
"2450-725","0","0","0","0","1","1","1","20240510","20240512"
"2450-9","0","0","0","0","1","1","1","20240506","20241006"
"2450-316","1","1","0","1","1","0","0","20240507","20241219"
"2450-555","1","1","0","1","1","0","0","20240507","20241230"
"2450-616","1","1","0","1","1","0","0","20240507","20240723"
"2450-354","1","1","0","1","1","0","0","20240507","20241223"
"2450-437","1","0","0","0","0","1","1","20240525","20240527"
"2450-724","1","0","0","0","0","1","1","20240511","20240513"
"2450-383","1","0","0","0","0","1","1","20240506","20241223"
"2450-752","1","0","0","0","0","1","1","20240506","20241222"
"2450-506","1","0","0","0","0","1","1","20240506","20240527"
"2450-496","1","0","0","0","0","1","1","20240504","20240506"
"2450-340","0","0","1","1","1","0","1","20240506","20240510"
"2450-789","1","0","0","0","1","0","0","20240510","20241220"
"2450-145","1","0","0","0","1","0","0","20240510","20241223"
"2450-14","1","0","0","0","1","0","0","20240506","20241103"
"2450-636","1","1","1","1","0","0","0","20240507","20240530"
"2450-203","1","1","1","1","0","0","0","20240513","20241223"
"2450-314","1","1","1","1","0","0","0","20240506","20240509"
"2450-334","1","1","1","1","0","0","0","20240513","20240724"
"2450-213","1","1","1","1","0","0","0","20240507","20240509"
"2450-201","1","1","1","1","0","0","0","20240528","20241223"
"2450-589","1","1","1","1","0","0","0","20240507","20241230"
"2450-716","1","1","1","1","0","0","0","20240507","20241219"
"2450-388","1","1","1","1","0","0","0","20240507","20241223"
"2450-202","1","1","1","1","0","0","0","20240513","20241219"
"2450-132","1","1","1","1","0","0","0","20240507","20241223"
"2450-802","1","1","1","1","0","0","0","20240507","20241219"
"2450-86","1","1","1","1","0","0","0","20240507","20241223"
"2450-637","1","1","1","1","0","0","0","20240603","20241230"
"2450-91","0","1","1","1","1","0","0","20240508","20241220"
"2450-212","0","1","1","1","1","0","0","20240507","20240510"
"2450-180","0","1","1","1","1","0","0","20240508","20241220"
"2450-452","0","1","1","1","1","0","0","20240513","20240516"
"2450-395","0","1","1","1","1","0","0","20240507","20241219"
"2450-418","0","1","1","1","1","0","0","20240803","20240808"
"2450-204","0","1","1","1","1","0","0","20240514","20241220"
"2450-454","0","1","1","1","1","0","0","20240610","20240613"
"2450-799","0","1","1","1","1","0","0","20240510","20241220"
"2450-21","0","0","1","1","1","1","1","20240506","20241103"
"2450-464","0","0","0","1","1","0","1","20240609","20240728"
"2450-829","0","0","0","1","1","0","1","20240506","20241006"
"2450-859","1","1","1","1","1","0","0","20240527","20240531"
"2450-523","1","1","1","1","1","0","0","20240507","20241230"
"2450-360","1","1","1","1","1","0","0","20240507","20240510"
"2450-843","1","1","1","1","1","0","0","20240528","20241231"
"2450-475","1","1","1","1","1","0","0","20240507","20241231"
"2450-59","1","1","1","1","1","0","0","20240506","20241231"
"2450-676","1","1","1","1","1","0","0","20240528","20240830"
"2450-699","1","1","1","1","1","0","0","20240528","20241230"
"2450-854","1","1","1","1","1","0","0","20240507","20240517"
"2450-559","1","1","1","1","1","0","0","20240507","20241220"
"2450-692","1","1","1","1","1","0","0","20240507","20240723"
"2450-579","1","1","1","1","1","0","0","20240506","20250101"
"2450-705","1","1","1","1","1","0","0","20240520","20240531"
"2450-412","1","1","1","1","1","0","0","20240803","20240808"
"2450-487","1","1","1","1","1","0","0","20240508","20241220"
"2450-419","1","1","1","1","1","0","0","20240805","20240808"
"2450-861","1","1","1","1","1","0","0","20240506","20240607"
"2450-147","1","1","1","1","1","0","0","20240507","20241223"
"2450-704","1","1","1","1","1","0","0","20240528","20241230"
"2450-680","1","1","1","1","1","0","0","20240513","20240723"
"2450-513","1","1","1","1","1","0","0","20240507","20241230"
"2450-344","1","1","1","1","1","0","0","20240729","20240830"
"2450-113","1","1","1","1","1","0","0","20240507","20241223"
"2450-779","1","1","1","1","1","0","0","20240507","20250101"
"2450-358","1","1","1","1","1","0","0","20240515","20241223"
"2450-657","1","1","1","1","1","0","0","20240507","20250101"
"2450-40","1","1","1","1","1","0","0","20240506","20241103"
"2450-184","1","1","1","1","1","0","0","20240507","20241219"
"2450-764","1","1","1","1","1","0","0","20240506","20240718"
"2450-211","1","1","1","1","1","0","0","20240513","20241223"
"2450-57","1","1","1","1","1","0","0","20240506","20241220"
"2450-841","1","1","1","1","1","0","0","20240507","20241231"
"2450-867","1","1","1","1","1","0","0","20240528","20241230"
"2450-663","1","1","1","1","1","0","0","20240507","20240607"
"2450-869","1","1","1","1","1","0","0","20240507","20240726"
"2450-185","1","1","1","1","1","0","0","20240528","20241223"
"2450-617","1","1","1","1","1","0","0","20240528","20241231"
"2450-871","1","1","1","1","1","0","0","20240507","20240625"
"2450-401","1","1","1","1","1","0","0","20240603","20241223"
"2450-243","1","1","1","1","1","0","0","20240507","20241223"
"2450-501","1","1","1","1","1","0","0","20240507","20240531"
"2450-329","1","1","1","1","1","0","0","20240513","20241219"
"2450-486","1","1","1","1","1","0","0","20240507","20241217"
"2450-498","1","1","1","1","1","0","0","20240511","20240514"
"2450-839","1","1","1","1","1","0","0","20240724","20240830"
"2450-379","1","1","1","1","1","0","0","20240513","20240724"
"2450-548","1","1","1","1","1","0","0","20240507","20241220"
"2450-41","1","1","0","1","1","1","1","20240506","20241103"
"2450-392","1","0","1","1","0","0","0","20240508","20241219"
"2450-853","1","0","1","1","0","0","0","20240508","20241230"
"2450-144","1","1","1","1","0","1","0","20240507","20241223"
"2450-410","1","1","1","1","0","1","0","20240803","20240808"
"2450-300","1","1","1","1","0","1","0","20240507","20241223"
"2450-35","1","1","1","1","0","1","1","20240506","20241103"
"2450-414","1","1","1","1","0","1","1","20240803","20240808"
"2450-210","1","1","1","1","0","1","1","20240506","20241223"
"2450-719","1","1","1","1","0","1","1","20240506","20241222"
"2450-37","1","0","0","1","1","1","1","20240506","20241006"
"2450-20","1","0","0","1","1","1","1","20240506","20241103"
"2450-16","1","1","0","0","0","1","1","20240506","20241103"
"2450-317","0","0","1","1","1","1","0","20240511","20241221"
"2450-68","0","0","1","1","1","1","0","20240508","20241221"
"2450-328","0","0","1","1","1","1","0","20240506","20240510"
"2450-244","0","0","0","0","1","1","0","20240510","20240622"
"2450-465","0","0","0","0","1","1","0","20240725","20240728"
"2450-592","0","0","0","0","1","1","0","20240506","20250101"
"2450-160","0","0","0","0","1","1","0","20240506","20241221"
"2450-140","0","0","0","0","1","1","0","20240506","20241221"
"2450-305","0","0","0","0","1","1","0","20240510","20241221"
"2450-249","0","0","0","0","1","1","0","20240510","20240622"
"2450-269","0","0","0","0","1","1","0","20240510","20240518"
"2450-250","0","0","0","0","1","1","0","20240510","20240622"
"2450-236","0","0","0","0","1","1","0","20240510","20240622"
"2450-235","0","0","0","0","1","1","0","20240510","20240622"
"2450-341","1","1","0","1","0","0","0","20240507","20241219"
"2450-149","1","1","0","1","0","0","0","20240507","20241223"
"2450-433","1","0","0","0","0","1","0","20240525","20240527"
"2450-409","1","0","0","0","0","1","0","20240506","20241223"
"2450-8","0","0","0","1","1","1","1","20240506","20241006"
"2450-49","0","0","0","1","1","1","1","20240506","20250101"
"2450-1","0","0","0","1","1","1","1","20240506","20241103"
"2450-394","0","1","1","1","1","1","0","20240529","20241221"
"2450-207","0","1","1","1","1","1","0","20240508","20241220"
"2450-339","0","1","1","1","1","1","0","20240506","20240510"
"2450-127","0","1","1","1","1","1","0","20240508","20241221"
"2450-345","0","1","1","1","1","1","0","20240511","20241221"
"2450-351","0","1","1","1","1","1","0","20240514","20241221"
"2450-254","0","1","1","1","1","1","0","20240508","20241221"
"2450-267","0","1","1","1","1","1","0","20240508","20241221"
"2450-330","0","1","1","1","1","1","0","20240514","20241220"
"2450-786","0","1","1","1","1","1","0","20240507","20241228"
"2450-326","0","1","1","1","1","1","0","20240508","20241221"
"2450-246","0","1","1","1","1","1","0","20240508","20241221"
"2450-375","0","1","1","1","1","1","0","20240508","20241220"
"2450-105","0","1","1","1","1","1","0","20240508","20241221"
"2450-237","0","1","1","1","1","1","0","20240508","20241221"
"2450-80","0","1","1","1","1","1","0","20240508","20241221"
"2450-257","0","1","1","1","1","1","0","20240508","20241221"
"2450-539","1","1","1","1","1","0","0","20240507","20240830"
"2450-261","1","1","1","1","1","0","0","20240507","20241223"
"2450-286","1","1","1","1","1","0","0","20240507","20241223"
"2450-741","1","1","1","1","1","0","0","20240507","20240531"
"2450-238","1","1","1","1","1","0","0","20240507","20241223"
"2450-271","1","1","1","1","1","0","0","20240507","20241223"
"2450-277","1","1","1","1","1","0","0","20240507","20241223"
"2450-294","1","1","1","1","1","0","0","20240507","20241223"
"2450-368","1","1","1","1","1","0","0","20240506","20241223"
"2450-279","1","1","1","1","1","0","0","20240507","20241223"
"2450-807","1","1","1","1","1","0","0","20240513","20240830"
"2450-223","1","1","1","1","1","0","0","20240507","20241223"
"2450-272","1","1","1","1","1","0","0","20240507","20241223"
"2450-596","1","1","1","1","1","0","0","20241227","20241230"
"2450-376","1","1","1","1","1","0","0","20240506","20240510"
"2450-573","1","1","1","1","1","0","0","20240528","20241230"
"2450-293","1","1","1","1","1","0","0","20240507","20241223"
"2450-276","1","1","1","1","1","0","0","20240507","20241223"
"2450-231","1","1","1","1","1","0","0","20240507","20241223"
"2450-245","1","1","1","1","1","0","0","20240507","20241223"
"2450-775","1","1","1","1","1","0","0","20240528","20241101"
"2450-278","1","1","1","1","1","0","0","20240507","20241223"
"2450-287","1","1","1","1","1","0","0","20240507","20241223"
"2450-310","1","1","1","1","1","0","0","20240513","20241223"
"2450-641","1","1","1","1","1","0","0","20240507","20241227"
"2450-346","1","1","1","1","1","0","0","20240507","20241220"
"2450-763","1","1","1","1","1","0","0","20240506","20240719"
"2450-175","1","1","1","1","1","0","0","20240510","20241223"
"2450-23","1","1","1","1","1","0","0","20240506","20241004"
"2450-61","1","1","1","1","1","0","0","20240507","20241223"
"2450-703","1","1","1","1","1","0","0","20240507","20241230"
"2450-284","1","1","1","1","1","0","0","20240507","20241223"
"2450-642","1","1","1","1","1","0","0","20240507","20241227"
"2450-258","1","1","1","1","1","0","0","20240507","20241223"
"2450-651","1","1","1","1","1","0","0","20240513","20241230"
"2450-163","1","1","1","1","1","0","0","20240506","20241223"
"2450-291","1","1","1","1","1","0","0","20240507","20241223"
"2450-283","1","1","1","1","1","0","0","20240507","20241223"
"2450-774","1","1","1","1","1","0","0","20240507","20241220"
"2450-219","1","1","1","1","1","0","0","20240507","20241223"
"2450-315","1","1","1","1","1","0","0","20240506","20241223"
"2450-303","1","1","1","1","1","0","0","20240510","20241223"
"2450-319","1","1","1","1","1","0","0","20240506","20241223"
"2450-234","1","1","1","1","1","0","0","20240507","20241223"
"2450-268","1","1","1","1","1","0","0","20240507","20241223"
"2450-181","1","1","1","1","1","0","0","20240506","20241223"
"2450-593","1","1","1","1","0","0","1","20240506","20241230"
"2450-162","1","1","1","1","0","0","1","20240506","20241223"
"2450-566","1","1","1","1","0","0","1","20240506","20250101"
"2450-309","1","1","1","1","0","0","1","20240512","20241223"
"2450-313","1","1","1","1","0","0","1","20240506","20240509"
"2450-135","1","1","1","1","0","0","1","20240507","20241223"
"2450-74","0","1","0","0","0","0","1","20240506","20241222"
"2450-460","0","0","0","1","1","1","0","20240608","20240727"
"2450-152","0","1","0","1","0","1","0","20240509","20241221"
"2450-282","0","0","0","0","0","1","1","20240601","20240623"
"2450-822","0","0","0","0","0","1","1","20240506","20250101"
"2450-233","0","0","0","0","0","1","1","20240511","20240623"
"2450-423","0","0","0","0","0","1","1","20240601","20240602"
"2450-274","0","0","0","0","0","1","1","20240512","20241222"
"2450-232","0","0","0","0","0","1","1","20240511","20240623"
"2450-199","0","0","0","0","0","1","1","20240512","20241222"
"2450-288","0","0","0","0","0","1","1","20240511","20240512"
"2450-273","0","0","0","0","0","1","1","20240518","20240519"
"2450-119","0","0","0","0","0","1","1","20240506","20241222"
"2450-241","0","0","0","0","0","1","1","20240525","20241222"
"2450-836","0","0","0","0","0","1","1","20240506","20250101"
"2450-255","0","0","0","0","0","1","1","20240512","20240519"
"2450-629","0","0","0","0","0","1","1","20240506","20250101"
"2450-662","0","0","0","0","0","1","1","20240506","20240609"
"2450-430","0","0","0","0","0","1","1","20240622","20240623"
"2450-398","0","0","0","0","0","1","1","20240601","20241222"
"2450-335","0","0","0","0","0","1","1","20240511","20241222"
"2450-468","0","0","0","0","0","1","1","20240727","20240804"
"2450-55","0","0","0","0","0","1","1","20240511","20241229"
"2450-71","0","0","0","0","0","1","1","20240506","20241222"
"2450-369","0","0","0","0","0","1","1","20240506","20241222"
"2450-139","0","0","0","0","0","1","1","20240506","20241222"
"2450-292","0","0","0","0","0","1","1","20240511","20240519"
"2450-22","0","0","0","0","0","1","1","20240506","20241006"
"2450-322","0","0","0","0","0","1","1","20240506","20241222"
"2450-318","0","0","0","0","0","1","1","20240506","20241222"
"2450-431","0","0","0","0","0","1","1","20240525","20240526"
"2450-449","0","0","0","0","0","1","1","20240713","20240714"
"2450-522","0","0","0","0","0","1","1","20240506","20250101"
"2450-745","0","0","0","0","0","1","1","20240506","20250101"
"2450-742","0","0","0","0","0","1","1","20240506","20240518"
"2450-467","0","0","0","0","0","1","1","20240727","20240728"
"2450-654","0","0","0","0","0","1","1","20240506","20250101"
"2450-182","0","0","0","0","0","1","1","20240511","20241222"
"2450-417","0","0","0","0","0","1","1","20240803","20240804"
"2450-122","0","0","0","0","0","1","1","20240511","20241222"
"2450-466","0","0","0","0","0","1","1","20240608","20240728"
"2450-727","0","0","0","0","0","1","1","20240506","20250101"
"2450-714","0","0","0","0","0","1","1","20240511","20241222"
"2450-492","0","0","0","0","0","1","1","20240506","20250101"
"2450-817","0","0","0","0","0","1","1","20240506","20250101"
"2450-538","0","0","0","0","0","1","1","20240506","20250101"
"2450-150","0","1","0","1","0","0","0","20240507","20241223"
"2450-408","0","1","0","1","0","0","0","20240507","20241219"
"2450-253","1","0","1","1","1","1","1","20240512","20240624"
"2450-551","0","0","1","0","0","0","0","20240508","20240717"
"2450-549","0","0","1","0","0","0","0","20240508","20241218"
"2450-18","0","0","1","0","0","0","0","20240506","20241103"
"2450-169","0","0","1","0","0","0","0","20240508","20241218"
"2450-463","0","0","0","1","1","0","0","20240725","20240728"
"2450-516","1","1","1","1","1","1","1","20240507","20250101"
"2450-30","1","1","1","1","1","1","1","20240506","20241103"
"2450-26","1","1","1","1","1","1","1","20240621","20240710"
"2450-451","1","1","1","1","1","1","1","20240513","20240516"
"2450-33","1","1","1","1","1","1","1","20240620","20241103"
"2450-31","1","1","1","1","1","1","1","20240506","20240628"
"2450-48","1","1","1","1","1","1","1","20240620","20250101"
