"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"2450-870","0","0","0","0","0","0","1","20240506","20250101"
"2450-256","0","0","0","0","0","0","1","20240512","20240519"
"2450-530","0","0","0","0","0","0","1","20240506","20250101"
"2450-520","0","0","0","0","0","0","1","20240506","20250101"
"2450-701","0","0","0","0","0","0","1","20240506","20250101"
"2450-111","0","0","0","0","0","0","1","20240519","20241222"
"2450-438","0","0","0","0","0","0","1","20240525","20240527"
"2450-440","0","0","0","0","0","0","1","20240609","20240609"
"2450-461","0","0","0","0","0","0","1","20240609","20240728"
"2450-674","0","0","0","0","0","0","1","20240506","20250101"
"2450-578","0","0","0","0","0","0","1","20240506","20250101"
"2450-526","0","0","0","0","0","0","1","20240506","20250101"
"2450-428","0","0","0","0","0","0","1","20240622","20240623"
"2450-456","0","0","0","0","0","0","1","20240526","20240526"
"2450-459","0","0","0","0","0","0","1","20240713","20240714"
"2450-260","0","0","0","0","0","0","1","20240510","20240512"
"2450-307","0","0","0","0","0","0","1","20240510","20241223"
"2450-266","0","0","0","0","0","0","1","20240512","20240623"
"2450-457","0","0","0","0","0","0","1","20240609","20240804"
"2450-124","0","0","0","0","0","0","1","20240511","20240512"
"2450-597","0","0","0","0","0","0","1","20241229","20241229"
"2450-851","0","0","0","0","0","0","1","20240506","20250101"
"2450-411","0","0","0","0","0","0","1","20240803","20240808"
"2450-217","0","0","0","0","0","0","1","20240506","20241222"
"2450-507","0","0","0","0","0","0","1","20240506","20240531"
"2450-425","0","0","0","0","0","0","1","20240608","20240609"
"2450-684","0","0","0","0","0","0","1","20240506","20250101"
"2450-740","0","0","0","0","0","0","1","20240506","20240527"
"2450-655","0","0","0","0","0","0","1","20240506","20250101"
"2450-601","0","0","0","0","0","0","1","20240506","20241222"
"2450-106","0","0","0","0","0","0","1","20240506","20241223"
"2450-290","0","0","0","0","0","0","1","20240512","20240623"
"2450-494","0","0","0","0","0","0","1","20240517","20240519"
"2450-497","0","0","0","0","0","0","1","20240511","20240514"
"2450-115","0","0","0","0","0","0","1","20240506","20241222"
"2450-739","0","0","0","0","0","0","1","20240506","20240512"
"2450-422","0","0","0","0","0","0","1","20240602","20240602"
"2450-242","0","0","0","0","0","0","1","20240526","20241222"
"2450-362","0","0","0","0","0","0","1","20240512","20241222"
"2450-450","0","0","0","0","0","0","1","20240714","20240714"
"2450-102","0","0","0","0","0","0","1","20240506","20241223"
"2450-441","0","0","0","0","0","0","1","20240526","20240609"
"2450-603","0","0","0","0","0","0","1","20240506","20241223"
"2450-857","0","0","0","0","0","0","1","20240506","20240609"
"2450-397","0","0","0","0","0","0","1","20240601","20241223"
"2450-164","0","0","0","0","0","0","1","20240506","20241223"
"2450-224","0","0","0","0","0","0","1","20240602","20240623"
"2450-323","0","0","0","0","0","0","1","20240511","20241223"
"2450-432","0","0","0","0","0","0","1","20240524","20240527"
"2450-226","0","0","0","0","0","0","1","20240526","20241222"
"2450-805","0","0","0","0","0","0","1","20240511","20240830"
"2450-421","0","0","0","0","0","0","1","20240601","20240602"
"2450-123","0","0","0","0","0","0","1","20240506","20241222"
"2450-471","0","0","0","0","0","0","1","20240518","20240519"
"2450-347","0","0","0","0","0","0","1","20240506","20241222"
"2450-64","0","0","0","0","0","0","1","20240506","20241222"
"2450-356","0","0","0","0","0","0","1","20240515","20241223"
"2450-198","0","0","0","0","0","0","1","20240511","20241223"
"2450-361","0","0","0","0","0","0","1","20240512","20241222"
"2450-114","0","0","0","0","0","0","1","20240511","20240513"
"2450-500","0","0","0","0","0","0","1","20240506","20240531"
"2450-491","0","0","0","0","0","0","1","20240506","20250101"
"2450-773","0","0","0","0","0","0","1","20240506","20250101"
"2450-469","0","0","0","0","0","0","1","20240728","20240804"
"2450-403","0","0","0","0","0","0","1","20240601","20241223"
"2450-192","0","0","0","0","0","0","1","20240506","20241222"
"2450-39","1","1","0","0","1","1","1","20240506","20241103"
"2450-2145310a81b4d57e","0","0","0","0","0","1","0","20240506","20250101"
"2450-83ac5dab7988983d","1","1","1","1","1","0","0","20240506","20250101"
"2450-1ac7a60960b4ccd3","0","0","0","0","0","0","1","20240506","20250101"
"2450-c3488892123a63c3","0","0","0","0","1","0","0","20240506","20250101"
"2450-4a9c024223eed52a","0","0","0","0","0","1","1","20240506","20250101"
"2450-89e5b721b578e107","1","1","1","1","1","1","1","20240506","20250101"
"2450-872c70f6ea24b504","0","0","0","0","0","1","1","20240506","20250101"
