"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2450-490001254A","54834","Wilkinson Way","51.502452","-0.265111","","","0","","Stop H","","1","",""
"2450-490001254B","53568","Wilkinson Way","51.502548","-0.2643","","","0","","Stop A","","1","",""
"2450-4900012554","","The Green (Ub2)","51.505333","-0.377235","","","0","","Stop","","1","",""
"2450-4900012555","","Bridge Road (Ub2)","51.504958","-0.376095","","","0","","Stop 5","","1","",""
"2450-490001255O","56733","Southall Station","51.50532","-0.378892","","","0","","Stop O","","1","",""
"2450-490001256E","57210","South Bermondsey Station","51.487955","-0.057451","","","0","","Stop IM","","1","",""
"2450-490001256W","51710","South Bermondsey Station","51.487847","-0.05747","","","0","","Stop IC","","1","",""
"2450-490001258A","55814","Birdhurst Road South Croydon Station","51.362127","-0.091796","","","0","","Stop A","","1","",""
"2450-490001258F","74977","Ruskin Parade Sth Croydon Stn","51.363107","-0.097329","","","0","","Stop F","","1","",""
"2450-490001262A","47871","South Merton","51.402806","-0.205395","","","0","","Stop M","","1","",""
"2450-490001262B","58242","South Merton","51.402706","-0.205931","","","0","","Stop E","","1","",""
"2450-490001264OB","48508","South Tottenham Station","51.581055","-0.072723","","","0","","Stop TC","","1","",""
"2450-490001264W","55408","South Tottenham Station","51.580576","-0.072556","","","0","","Stop TD","","1","",""
"2450-490001265A","56492","Stamford Hill Station","51.574595","-0.07799","","","0","","Stop CQ","","1","",""
"2450-490001265B","57982","Stamford Hill Station","51.574319","-0.077035","","","0","","Stop CX","","1","",""
"2450-490001267A","56433","St Helier","51.389718","-0.196952","","","0","","Stop MN","","1","",""
"2450-490001267B","76437","St Helier","51.389904","-0.197937","","","0","","Stop MP","","1","",""
"2450-490001267N","50542","St Helier","51.389264","-0.19664","","","0","","Stop MS","","1","",""
"2450-490001268P","47034","St James Street Station","51.580562","-0.032691","","","0","","Stop D","","1","",""
"2450-490001268Q","77327","St James Street Station","51.581094","-0.033346","","","0","","Stop A","","1","",""
"2450-490001268ZC","48560","St James Street Station","51.581393","-0.031876","","","0","","Stop F","","1","",""
"2450-490001268ZD","52515","St James Street Station","51.581313","-0.032428","","","0","","Stop E","","1","",""
"2450-490001270A","55249","St Margarets Station","51.455286","-0.319421","","","0","","Stop P","","1","",""
"2450-490001270B","51212","St Margarets Station","51.455446","-0.320553","","","0","","Stop J","","1","",""
"2450-490001271SA","73263","St Mary Cray Station","51.39574","0.107205","","","0","2450-910GSTMRYC","Stop SA","","1","",""
"2450-490001271SB","48442","St Mary Cray Station","51.395709","0.107405","","","0","2450-910GSTMRYC","Stop SB","","1","",""
"2450-490001273C","47134","Stoke Newington Station","51.564775","-0.073051","","","0","","Stop C","","1","",""
"2450-490001273E","55801","Stoke Newington Station","51.564611","-0.073433","","","0","","Stop E","","1","",""
"2450-490001273Y","51706","Stoke Newington Station","51.564289","-0.071903","","","0","","Stop Y","","1","",""
"2450-490001273Z","55650","Stoke Newington Station","51.564339","-0.071684","","","0","","Stop Z","","1","",""
"2450-490001276S","54414","St Pancras International","51.531597","-0.127179","","","0","","Stop S","","1","",""
"2450-4900012775K","72995","St Mark's Church","51.398582","0.016205","","","0","","Stop K","","1","",""
"2450-490001279E","91305","Streatham Station","51.42546","-0.131234","","","0","2450-910GSTRETHM","Stop SF","","1","",""
"2450-490001279S1","58579","Streatham Station","51.425703","-0.130691","","","0","2450-910GSTRETHM","Stop SB","","1","",""
"2450-490001279S2","54923","Streatham Station","51.425297","-0.130636","","","0","2450-910GSTRETHM","Stop SC","","1","",""
"2450-490001279S3","75119","Streatham Station","51.425175","-0.130842","","","0","2450-910GSTRETHM","Stop SJ","","1","",""
"2450-490001279W","91306","Streatham Station","51.425218","-0.131891","","","0","2450-910GSTRETHM","Stop","","1","",""
"2450-490001280SA","59018","Tankerville Road","51.418723","-0.134557","","","0","","Stop CT","","1","",""
"2450-490001280SB","76852","Streatham Common","51.418702","-0.134386","","","0","","Stop CQ","","1","",""
"2450-490001281A","57540","Streatham Hill Station Streatham Hill","51.439409","-0.126261","","","0","","Stop A","","1","",""
"2450-490001281B","57897","Streatham Hill Station Streatham Hill","51.439194","-0.126342","","","0","","Stop B","","1","",""
"2450-490001281C","52923","Streatham Hill Station","51.43865","-0.127774","","","0","","Stop C","","1","",""
"2450-490001281D","58149","Streatham Hill Station Streatham Hill","51.439402","-0.12583","","","0","","Stop D","","1","",""
"2450-490001281G","57691","Leigham Ct Rd Streatham Hill","51.437688","-0.12662","","","0","","Stop G","","1","",""
"2450-490001281H","74876","Leigham Ct Rd Streatham Hill","51.43773","-0.126431","","","0","","Stop H","","1","",""
"2450-490001281Q","47311","Streatham Hill Station","51.438552","-0.128929","","","0","","Stop Q","","1","",""
"2450-490001282J","57832","Sudbury & Harrow Road","51.554742","-0.315715","","","0","","Stop J","","1","",""
"2450-490001282N","91337","Sudbury & Harrow Road","51.554164","-0.314914","","","0","","->N","","1","",""
"2450-490001283B","54179","Sudbury Hill Harrow","51.55748","-0.335521","","","0","","Stop P","","1","",""
"2450-490001283N","52802","Sudbury Hill Harrow","51.557314","-0.335874","","","0","","Stop V","","1","",""
"2450-490001284E","56652","Sundridge Park Station","51.413999","0.022822","","","0","","Stop A","","1","",""
"2450-490001284W","76344","Sundridge Park Station","51.414044","0.022306","","","0","","Stop B","","1","",""
"2450-490001285C","58669","Surbiton","51.392911","-0.305422","","","0","","Stop NB","","1","",""
"2450-490001285D","73651","Surbiton Station Victoria Road","51.392545","-0.305651","","","0","","Stop NP","","1","",""
"2450-490001285E","51071","Surbiton","51.393581","-0.30327","","","0","","Stop NN","","1","",""
"2450-490001286O","77909","Sutton Station","51.359135","-0.191187","","","0","2450-910GSUTTON","Stop O","","1","",""
"2450-490001286Y","91476","Sutton Station","51.359106","-0.191619","","","0","2450-910GSUTTON","Stop AB","","1","",""
"2450-490001286Z","91477","Sutton Station","51.359322","-0.19164","","","0","2450-910GSUTTON","Stop AC","","1","",""
"2450-490001291N","72491","Syon Lane Station","51.481933","-0.324592","","","0","","Stop B","","1","",""
"2450-490001291S","76282","Syon Lane Station","51.481846","-0.324177","","","0","","Stop A","","1","",""
"2450-490001294C","76793","Thornton Heath Station","51.398456","-0.099457","","","0","","Stop C","","1","",""
"2450-490001294D","51257","Thornton Heath Station","51.398657","-0.099635","","","0","","Stop D","","1","",""
"2450-490001295A","53212","Tolworth Station","51.377392","-0.279025","","","0","","Stop A","","1","",""
